ident,type,name,iso_region,iata_code
08MS,small_airport,Williams Field,US-MS,
08MT,small_airport,Matovich Airport,US-MT,
08N,small_airport,Keller Brothers Airport,US-PA,
08NC,small_airport,Whiteheart Farm Airport,US-NC,
08ND,small_airport,Brecht Strip,US-ND,
08NE,small_airport,Laurel Municipal Airport,US-NE,
08NY,small_airport,Md1 Airport,US-NY,
08OH,small_airport,Kenley Airport,US-OH,
08OK,small_airport,Parks Airport,US-OK,
08OL,small_airport,Broken B Airport,US-OK,
08OR,small_airport,Saxon Sycan Airport,US-OR,
08R,small_airport,Richmond Airport,US-RI,
08TE,small_airport,B. J. Mc Combs Sisterdale Airport,US-TX,
08TN,small_airport,PTC Airport,US-TN,
08TX,small_airport,Cross Wind Airport,US-TX,
08U,small_airport,Stevens-Crosby Airport,US-NV,
08VA,small_airport,Springwood Airstrip,US-VA,
08XA,small_airport,Knolle Ranch Airport,US-TX,
08XS,small_airport,Peterson Airport,US-TX,
09AK,small_airport,West Beaver Airport,US-AK,
09AZ,small_airport,Stronghold Airport,US-AZ,
09CL,small_airport,Alta Sierra Airport,US-CA,
09CO,small_airport,Cottonwood Field,US-CO,
09FA,small_airport,Placid Lakes Airport,US-FL,
09FD,small_airport,Cheryl-Lane Landings Airport,US-FL,
09FL,small_airport,Sunnybreeze Airport,US-FL,
09GA,small_airport,Sunbelt Strip,US-GA,
09IA,small_airport,Skydive Iowa Airport,US-IA,
09ID,small_airport,Taylor Ranch Landing Area Airport,US-ID,
09II,small_airport,Gibbons Field,US-IN,
09IN,small_airport,Gordon Airport,US-IN,
09KS,small_airport,Coffman Airport,US-KS,
09LL,small_airport,Pine Hill Airport,US-IL,
09MA,small_airport,Kallander Field,US-MA,
09ME,small_airport,Perrotti Skyranch Airfield,US-ME,
09MN,small_airport,W Johnson Field,US-MN,
09MO,small_airport,Hogue Farm Airport,US-MO,
09N,small_airport,Airhaven Airport,US-NY,
09NC,small_airport,William Irving Lewis Airport,US-NC,
09NE,small_airport,Summer Hill Farm Airport,US-NE,
09NR,small_airport,Dakota Air Ranch Airport,US-NC,
09OK,small_airport,Ragtime Aerodrome,US-OK,
09PA,small_airport,Eagle Field,US-PA,
09S,small_airport,Sullivan Lake State Airport,US-WA,
09TA,small_airport,Lazy G Bar Ranch Airport,US-TX,
09TE,small_airport,Running M Ranch Airport,US-TX,
09TS,small_airport,Pitcock Rosillos Mountain Ranch Airport,US-TX,
09TX,small_airport,Smokey Mtn Ranch Airport,US-TX,
09VA,small_airport,Alum Ridge STOLport,US-VA,
09WI,small_airport,Parkway Farm Strip,US-WI,
0AA7,small_airport,Kalifonsky Meadows Airport,US-AK,
0AK,small_airport,Pilot Station Airport,US-AK,PQS
0AK0,small_airport,Scotts Airport,US-AK,
0AK1,small_airport,Anderson Lake Airport,US-AK,
0AK2,small_airport,Yentna Bend Strip,US-AK,
0AK3,small_airport,Parker Lake Airport,US-AK,
0AK5,small_airport,Young Creek Airport,US-AK,
0AK6,small_airport,Victory Airport,US-AK,
0AK7,small_airport,Bradley Lake Hydroelectri Project Airstrip,US-AK,
0AK9,small_airport,Falcon Lake Strip,US-AK,
0AL1,small_airport,Resort Airport,US-AL,
0AL5,small_airport,Flomaton Airport,US-AL,
0AL9,small_airport,Wilson Creek Airport,US-AL,
0AR2,small_airport,Mission Field-Marotti Memorial Airport,US-AR,
0AZ2,small_airport,Western Sky Airport,US-AZ,
0AZ4,small_airport,Flying Bucket Ranch Airport,US-AZ,
0AZ5,small_airport,Castle Well Airport,US-AZ,
0B2,small_airport,Brewer Airport,US-ME,
